asin,title,author,stars,price,isKindleUnlimited,publishedDate,category_name
B01E0VQJ6S,This Is Me Letting You Go,Heidi Priebe,4.6,6.99,False,2016-04-08,Parenting & Relationships
B07BB5R38P,It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,Lysa TerKeurst,4.8,14.99,True,2018-11-13,Parenting & Relationships
B0C7MCCNSX,Dirty Laundry: Why Adults with ADHD Are So Ashamed and What We Can Do to Help,Richard Pink,4.8,11.99,False,2023-07-18,Parenting & Relationships
B09K793M2H,The American Girl: The Number One bestselling Irish historical fiction novel of heartbreaking secrets in a home for unwed mothers,Rachael English,4.3,2.99,False,2021-12-01,Parenting & Relationships
B09V7V8X27,Made For Me: A friends to lovers sports romance. (Made For Series),Natasha Madison,4.5,4.99,True,,Parenting & Relationships
B01NBWHWIN,The Classic Fairy Tales (Second Edition) (Norton Critical Editions),Maria Tatar,4.6,12.99,False,2017-01-20,Parenting & Relationships
B075QJ7JLB,How to Stay in Love: A Divorce Lawyer's Guide to Staying Together,James J. Sexton,4.5,11.99,False,2018-04-10,Parenting & Relationships
B0BR4VKBD6,"Touched Out: Motherhood, Misogyny, Consent, and Control",Amanda Montei,4.4,12.99,False,2023-09-12,Parenting & Relationships
B00120955S,"NOT ""Just Friends"": Rebuilding Trust and Recovering Your Sanity After Infidelity",Shirley Glass,4.5,13.99,False,2007-11-01,Parenting & Relationships
B0727NC3NN,Prairie Fires: The American Dreams of Laura Ingalls Wilder,Caroline Fraser,4.3,12.99,False,2017-11-21,Parenting & Relationships
B084V8B76X,Rules of Estrangement: Why Adult Children Cut Ties and How to Heal the Conflict,Joshua Coleman Ph D.,4.5,14.99,False,2021-03-02,Parenting & Relationships
B07RYHN2ZC,The Book You Wish Your Parents Had Read: (And Your Children Will Be Glad That You Did),Philippa Perry,4.6,14.99,False,2020-02-04,Parenting & Relationships
B016989HIW,Should I Stay or Should I Go?: Surviving a Relationship with a Narcissist,Ramani Durvasula,4.7,9.99,False,2015-11-24,Parenting & Relationships
B00X2ZW918,Trauma and Recovery: The Aftermath of Violence--From Domestic Abuse to Political Terror,Judith Lewis Herman MD,4.7,12.99,False,2015-07-07,Parenting & Relationships
B00BAJ2MYM,How to Talk to Anyone: 92 Little Tricks for Big Success in Relationships,Leil Lowndes,4.5,0.0,False,2013-03-07,Parenting & Relationships
B09FQDH5HZ,Seven Husbands of Evelyn Hugo: The Sunday Times Bestseller,Taylor Jenkins Reid,4.6,0.0,False,2021-10-14,Parenting & Relationships
B0796QV121,Calypso,David Sedaris,4.4,11.99,False,2018-05-29,Parenting & Relationships
B09X3ZZMQX,It. Goes. So. Fast.: The Year of No Do-Overs,Mary Louise Kelly,4.3,13.99,False,2023-04-11,Parenting & Relationships
B08J1Q5W6X,How Y'all Doing?: Misadventures and Mischief from a Life Well Lived,Leslie Jordan,4.7,13.99,False,2021-04-27,Parenting & Relationships
B07R7F1TQK,Child Development and Education,Teresa M. McDevitt,4.5,74.99,False,2019-03-01,Parenting & Relationships
B01N9JOSTQ,WHY MEN MARRY BITCHES: Expanded New Edition - A Guide for Women Who Are Too Nice,Sherry Argov,4.6,9.99,False,2016-12-19,Parenting & Relationships
B08XLRL3KW,Your Brain's Not Broken: Strategies for Navigating Your Emotions and Life with ADHD,Tamara Phd Rosier,4.8,11.68,False,2021-09-21,Parenting & Relationships
